dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error,blocks,repeats,kernel_ms_avg,kernel_ms_std,total_ms_avg,total_ms_std,verified,dataset
staggered,bitonic,gpu,uint64,1000000,256,7.275767,0.000000,7.275767,137.442554,8000000.000000,0.008000,1.099540,1,1,0.000000,64,3,7.142592,0.006000,7.275767,0.007414,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,1000000,256,13.800720,0.000000,13.800720,72.459989,8000000.000000,0.008000,0.579680,1,1,0.000000,64,3,13.781227,0.264637,13.800720,0.263138,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,radix,gpu,uint64,10000000,256,115.626161,0.000000,11.562616,86.485618,80000000.000000,0.080000,0.691885,1,1,0.000000,64,3,115.578411,0.129767,115.626161,0.131844,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bitonic,gpu,uint64,10000000,256,132.738478,0.000000,13.273848,75.336106,80000000.000000,0.080000,0.602689,1,1,0.000000,64,3,131.831543,0.011275,132.738478,0.201593,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,10000000,256,124.473741,0.000000,12.447374,80.338230,80000000.000000,0.080000,0.642706,1,1,0.000000,64,3,124.456085,0.252326,124.473741,0.250076,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,radix,gpu,uint64,100000000,256,1149.712766,0.000000,11.497128,86.978246,800000000.000000,0.800000,0.695826,1,1,0.000000,64,3,1149.646047,0.065699,1149.712766,0.070131,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bitonic,gpu,uint64,100000000,256,1411.929445,0.000000,14.119294,70.825069,800000000.000000,0.800000,0.566601,1,1,0.000000,64,3,1403.938232,0.003553,1411.929445,2.151626,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,100000000,256,1236.093339,0.000000,12.360933,80.900040,800000000.000000,0.800000,0.647200,1,1,0.000000,64,3,1236.061117,0.184212,1236.093339,0.181659,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
all_equal,radix,gpu,uint64,10000,256,1.089852,0.000000,108.985233,9.175555,80000.000000,0.000080,0.073404,1,1,0.000000,40,3,1.046976,0.089454,1.089852,0.091319,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/all_equal_n10000_min0_max999999_dtypeuint64_seed42_val0.bin
all_equal,bitonic,gpu,uint64,10000,256,0.276777,0.000000,27.677667,36.130213,80000.000000,0.000080,0.289042,1,1,0.000000,40,3,0.259371,0.006650,0.276777,0.008698,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/all_equal_n10000_min0_max999999_dtypeuint64_seed42_val0.bin
